repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
guinmoon/LLMFarm,AI engineering,AI interface,1259,2,0.16%,25,1.99%,76,llama and other  large language models on iOS and MacOS offline using GGML library.,guinmoon,1,2023-06-14,1000-01-01,208
Ber666/llm-reasoners,AI engineering,Prompt engineering,1195,2,0.17%,21,1.76%,98,A library for advanced large language model reasoning,"Ber666, Leolty, wu-qing-157",14,2023-06-01,2024-07-24,0
jujumilk3/leaked-system-prompts,AI engineering,Prompt engineering,1063,2,0.19%,17,1.60%,129,Collection of leaked system prompts,"jujumilk3, OneTop4458, wassname",11,2023-05-16,2024-10-03,0
mosaicml/streaming,Infrastructure,Data management,1098,2,0.18%,13,1.18%,137,A Data Streaming Library for Efficient Neural Network Training,"karan6181, knighton, snarayan21",51,2022-06-09,2024-10-08,15
promptfoo/promptfoo,AI engineering,Prompt engineering,4403,2,0.05%,50,1.14%,335,"Test your prompts, agents, and RAGs. Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.","typpo, mldangelo, sklein12",100+,2023-04-28,2024-10-10,77
andreibondarev/langchainrb,AI engineering,AIE framework,1326,2,0.15%,14,1.06%,186,Build LLM-powered applications in Ruby,"andreibondarev, alchaplinsky, rickychilcott",96,2023-04-18,2024-10-10,0
SqueezeAILab/LLMCompiler,AI engineering,AIE framework,1426,2,0.14%,15,1.05%,105,[ICML 2024] LLMCompiler: An LLM Compiler for Parallel Function Calling,"kssteven418, hwchase17, eltociear",4,2023-12-06,2024-07-10,0
OpenGVLab/InternVideo,Model repo,Multimodal,1345,2,0.15%,13,0.97%,85,[ECCV2024] Video Foundation Models & Data for Multimodal Understanding,"shepnerd, yinanhe, Andy1621",16,2022-11-23,2024-09-23,0
OpenGVLab/VisionLLM,Model repo,Multimodal,871,2,0.23%,8,0.92%,23,VisionLLM Series,"czczup, wjn922",2,2023-05-18,1000-01-01,0
roboflow/inference,Infrastructure,Serving,1315,2,0.15%,12,0.91%,117,"A fast, easy-to-use, production-ready inference server for computer vision supporting deployment of many popular model architectures and fine-tuned models.","PawelPeczek-Roboflow, probicheaux, paulguerrie",42,2023-07-31,2024-10-09,0
run-llama/LlamaIndexTS,AI engineering,AIE framework,1823,2,0.11%,16,0.88%,348,LlamaIndex in TypeScript,"yisding, marcusschiesser, himself65",93,2023-06-13,2024-10-10,0
vectara/hallucination-leaderboard,AI engineering,Evals,1188,2,0.17%,10,0.84%,46,Leaderboard Comparing LLM Performance at Producing Hallucinations when Summarizing Short Documents,"simonhughes22, ofermend, mbae26",10,2023-10-31,2024-10-02,0
openai/grade-school-math,AI engineering,Evals,1017,2,0.20%,8,0.79%,147,,"vineetsk10, kcobbe",2,2021-10-20,2021-11-03,0
eric-mitchell/direct-preference-optimization,Model development,Modeling & training,2074,2,0.10%,16,0.77%,170,Reference implementation for DPO (Direct Preference Optimization),eric-mitchell,1,2023-06-22,2023-07-23,0
evalplus/evalplus,AI engineering,Evals,1180,2,0.17%,9,0.76%,102,Rigourous evaluation of LLM-synthesized code - NeurIPS 2023,"ganler, Kristoff-starling, brutalsavage",16,2023-04-15,2024-06-18,2240
leondz/garak,AI engineering,Evals,1332,2,0.15%,10,0.75%,153,LLM vulnerability scanner,"leondz, jmartin-tech, erickgalinkin",23,2023-05-10,2024-10-07,0
mit-han-lab/smoothquant,Model development,Inference optimization,1209,2,0.17%,9,0.74%,139,[ICML 2023] SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"Guangxuan-Xiao, tonylins, songhan",3,2022-11-17,2023-02-10,0
webdataset/webdataset,Infrastructure,Data management,2251,2,0.09%,16,0.71%,178,"A high-performance Python-based I/O system for large (and small) deep learning problems, with strong support for PyTorch.","tmbdev, tmbnv, jacobbieker",41,2019-08-07,2024-09-27,0
3DTopia/LGM,Model repo,Multimodal,1601,2,0.12%,11,0.69%,105,[ECCV 2024 Oral] LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation.,"ashawkey, brentyi, laz-kaedim",3,2024-02-06,2024-02-29,0
BAAI-Agents/Cradle,Applications,Workflow automation,1767,2,0.11%,12,0.68%,155,"The Cradle framework is a first attempt at General Computer Control (GCC). Cradle supports agents to ace any computer task by enabling strong reasoning abilities, self-improvment, and skill curation, in a standardized general environment with minimal requirements.","DVampire, tellarin, XinrunXu",7,2024-03-03,2024-09-19,0
tensorchord/Awesome-LLMOps,Lists,,3834,2,0.05%,26,0.68%,365,An awesome & curated list of best LLMOps tools for developers,"gaocegege, WarrenWen666, NeroHin",83,2022-04-15,2024-10-10,0
hao-ai-lab/LookaheadDecoding,Model development,Inference optimization,1118,2,0.18%,7,0.63%,66,[ICML 2024] Break the Sequential Dependency of LLM Inference Using Lookahead Decoding,"Viol2000, jiqing-feng, zhisbug",5,2023-11-21,2024-02-14,0
jackmpcollins/magentic,AI engineering,Prompt engineering,1981,2,0.10%,12,0.61%,96,Seamlessly integrate LLMs as Python functions,"jackmpcollins, entropi, eltociear",8,2023-06-18,2024-09-24,0
danswer-ai/danswer,Applications,Info aggregation,10432,2,0.02%,63,0.60%,1257,Gen-AI Chat for Teams - Think ChatGPT if it had access to your team's unique knowledge.,"Weves, yuhongsun96, pablodanswer",100+,2023-04-27,2024-10-10,0
ashishpatel26/LLM-Finetuning,Tutorials,,2101,2,0.10%,12,0.57%,587,LLM Finetuning with peft,ashishpatel26,1,2023-06-08,1000-01-01,0
vocodedev/vocode-python,AI engineering,AI interface,2839,2,0.07%,16,0.56%,481,🤖 Build voice-based LLM agents. Modular + open source.,"ajar98, Kian1354, HHousen",57,2023-02-24,2024-10-10,0
ELLA-Diffusion/ELLA,Model repo,Multimodal,1066,2,0.19%,6,0.56%,56,ELLA: Equip Diffusion Models with LLM for Enhanced Semantic Alignment,"budui, fangyixiao18, melohux",4,2024-03-07,2024-07-17,0
noahshinn/reflexion,AI engineering,Agent,2346,2,0.09%,13,0.55%,225,[NeurIPS 2023] Reflexion: Language Agents with Verbal Reinforcement Learning,"cassanof, noahshinn, noahshinn024",6,2023-03-22,2023-08-04,0
MzeroMiko/VMamba,Model repo,Multimodal,2080,2,0.10%,11,0.53%,129,VMamba: Visual State Space Models，code is based on mamba,"MzeroMiko, sunsmarterjie, neverbiasu",3,2024-01-11,2024-02-02,4403
salesforce/ALBEF,Model development,Modeling & training,1534,2,0.13%,8,0.52%,195,Code for ALBEF: a new vision-language pre-training method,"LiJunnan1992, chenxwh, svc-scm",3,2021-07-13,2022-03-21,0
hendrycks/test,AI engineering,Evals,1172,2,0.17%,6,0.51%,90,Measuring Massive Multitask Language Understanding | ICLR 2021,"hendrycks, Helw150, xksteven",5,2020-09-07,2023-04-24,0
mattzcarey/code-review-gpt,Applications,Coding,1564,2,0.13%,8,0.51%,156,"Code review powered by LLMs (OpenAI GPT4, Sonnet 3.5) & Embeddings ⚡️ Improve code quality and catch bugs before you break production 🚀 Lives in your Github/GitLab/Azure DevOps CI","lizacullis, SEBRATHEZEBRA, mattzcarey",25,2023-07-06,2024-09-03,0
RayVentura/ShortGPT,Applications,Video production,5655,2,0.04%,28,0.50%,713,🚀🎬 ShortGPT - Experimental AI framework for youtube shorts / tiktok channel automation,"RayVentura, transonit, test12376",11,2023-06-27,2024-02-11,0
ianarawjo/ChainForge,AI engineering,Prompt engineering,2240,2,0.09%,11,0.49%,174,An open-source visual programming environment for battle-testing prompts to LLMs.,"ianarawjo, priyanmuthu, eglassman",7,2023-03-26,2024-08-12,0
gptscript-ai/gptscript,Applications,Coding,2996,2,0.07%,13,0.43%,263,Build AI assistants that interact with your systems,"ibuildthecloud, thedadams, g-linville",30,2024-01-29,2024-02-13,3584
state-spaces/s4,Model repo,,2403,2,0.08%,10,0.42%,287,Structured state space sequence models,"albertfgu, krandiash, ad12",8,2021-11-03,2023-07-11,0
SHI-Labs/OneFormer,Model repo,,1458,2,0.14%,6,0.41%,129,"OneFormer: One Transformer to Rule Universal Image Segmentation, arxiv 2022 / CVPR 2023","praeclarumjj3, honghuis, alihassanijr",5,2022-11-02,2023-04-18,0
time-series-foundation-models/lag-llama,Model repo,,1221,2,0.16%,5,0.41%,149,Lag-Llama: Towards Foundation Models for Probabilistic Time Series Forecasting,"ashok-arjun, kashif, araghukas",5,2024-02-07,2024-09-08,0
lk-geimfari/mimesis,AI engineering,Dataset engineering,4418,2,0.05%,18,0.41%,335,Mimesis is a robust data generator for Python that can produce a wide range of fake data in multiple languages.,"lk-geimfari, dependabot-preview[bot], sobolevn",100+,2016-09-09,2024-09-23,635
shibing624/MedicalGPT,Model development,Modeling & training,3257,2,0.06%,13,0.40%,492,MedicalGPT: Training Your Own Medical GPT Model with ChatGPT Training Pipeline. 训练医疗大模型，实现了包括增量预训练(PT)、有监督微调(SFT)、RLHF、DPO、ORPO。,"shibing624, ZhuangXialie, princepride",10,2023-06-02,2024-08-25,0
huggingface/autotrain-advanced,Model development,Modeling & training,3848,2,0.05%,15,0.39%,471,🤗 AutoTrain Advanced,"abhishekkrthakur, SBrandeis, liveaverage",22,2020-12-15,2024-10-04,0
di-sukharev/opencommit,Applications,Coding,6008,2,0.03%,23,0.38%,320,Generate conventional git commit messages with AI in 1 second 🤯🔫,"di-sukharev, matscube, JMN09",70,2023-03-06,2024-09-06,0
salesforce/BLIP,Model repo,Multimodal,4713,2,0.04%,18,0.38%,625,PyTorch code for BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation  ,AK391,1,2022-01-25,2022-02-08,0
anthropics/hh-rlhf,Model development,Dataset engineering,1580,2,0.13%,6,0.38%,122,"Human preference data for ""Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback""","8enmann, dganguli, NinoRisteski",4,2022-04-10,2023-09-19,0
protectai/rebuff,AI engineering,Prompt engineering,1088,2,0.18%,4,0.37%,80,LLM Prompt Injection Detector,"woop, shrumm, seanpmorgan",9,2023-04-24,2024-01-25,0
intel-analytics/BigDL,Model development,Inference optimization,6574,2,0.03%,24,0.37%,1254,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, GraphRAG, DeepSpeed, vLLM, FastChat, Axolotl, etc.","Oscilloscope98, MeouSker77, rnwang04",100+,2016-08-29,2024-10-10,57
intel-analytics/ipex-llm,Model development,Inference optimization,6574,2,0.03%,24,0.37%,1254,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, GraphRAG, DeepSpeed, vLLM, FastChat, Axolotl, etc.","Oscilloscope98, MeouSker77, rnwang04",100+,2016-08-29,2024-10-10,340
fchollet/ARC,AI engineering,Evals,3371,2,0.06%,12,0.36%,562,The Abstraction and Reasoning Corpus,"fchollet, ageron, kaalam",21,2019-11-05,2024-06-19,0
open-mmlab/mmdeploy,Infrastructure,Serving,2739,2,0.07%,9,0.33%,627,OpenMMLab Model Deployment Framework,"RunningLeon, AllentDan, grimoire",100+,2021-12-24,2024-09-30,34202
turboderp/exllama,Model development,Inference optimization,2752,2,0.07%,9,0.33%,215,A more memory-efficient rewrite of the HF transformers implementation of Llama for use with quantized weights.,"turboderp, QuarticCat, Kerushii",15,2023-05-04,2023-09-11,0
microsoft/PromptCraft-Robotics,AI engineering,Prompt engineering,1855,2,0.11%,6,0.32%,201,Community for applying LLMs to robotics and a robot simulator with ChatGPT integration,"yuan-alex, rogeriobonatti, saihv",3,2023-02-08,2023-03-17,847
TimDettmers/bitsandbytes,Model development,Inference optimization,6146,2,0.03%,19,0.31%,617,Accessible large language models via k-bit quantization for PyTorch.,"TimDettmers, Titus-von-Koeller, justheuristic",78,2021-06-04,2024-09-30,5373
MineDojo/Voyager,Applications,Bots,5543,2,0.04%,17,0.31%,514,An Open-Ended Embodied Agent with Large Language Models,"xieleo5, cmaranes, FOLLGAD",12,2023-05-25,2023-07-27,0
YiVal/YiVal,AI engineering,Prompt engineering,2641,2,0.08%,8,0.30%,427,Your Automatic Prompt Engineering Assistant for GenAI Applications,"yje-arch, crazycth, uni-zhuan",44,2023-07-15,2024-02-06,0
mosaicml/llm-foundry,Model development,Modeling & training,4001,2,0.05%,12,0.30%,524,LLM training code for Databricks foundation models,"dakinggg, vchiley, abhi-mosaic",90,2023-04-28,2024-10-09,0
FreedomIntelligence/Medical_NLP,Lists,,2104,2,0.10%,6,0.29%,402,"Medical NLP Competition, dataset, large models, paper","lrs1353281004, wangxidong06, RobinLin2002",7,2019-11-14,2024-06-07,0
unum-cloud/usearch,Infrastructure,VectorDB,2155,2,0.09%,6,0.28%,131,"Fast Open-Source Search & Clustering engine × for Vectors & 🔜 Strings × in C++, C, Python, JavaScript, Rust, Java, Objective-C, Swift, C#, GoLang, and Wolfram 🔍","ashvardanian, gurgenyegoryan, mgevor",53,2023-02-22,2024-10-10,1369
Mooler0410/LLMsPracticalGuide,Tutorials,,9363,2,0.02%,26,0.28%,716,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)","Mooler0410, JingfengYang, trx14",13,2023-04-23,2023-08-06,0
DSXiangLi/DecryptPrompt,Lists,,2615,2,0.08%,7,0.27%,265,总结Prompt&LLM论文，开源数据&模型，AIGC应用,"DSXiangLi, gordonhu608, aFlyBird0",5,2023-02-10,2023-12-18,0
OpenGVLab/Ask-Anything,Model repo,Multimodal,3014,2,0.07%,8,0.27%,248,"[CVPR2024 Highlight][VideoChatGPT] ChatGPT with video understanding! And many more supported LMs such as miniGPT4, StableLM, and MOSS.","yinanhe, Andy1621, shepnerd",11,2023-04-19,2024-04-05,0
georgezouq/awesome-ai-in-finance,Tutorials,,3431,2,0.06%,9,0.26%,416,🔬 A curated list of awesome LLMs & deep learning strategies & tools in financial market.,"georgezouq, anmorgan24, jiminHuang",18,2018-08-29,2024-04-13,0
BCG-X-Official/agentkit,AI engineering,Agent,1557,2,0.13%,4,0.26%,204,"Starter-kit to build constrained agents with Nextjs, FastAPI and Langchain","drivian, kaikun213, harticode",8,2024-01-25,2024-07-21,0
openai/improved-diffusion,Model repo,Multimodal,3179,2,0.06%,8,0.25%,481,Release for Improved Denoising Diffusion Probabilistic Models,"unixpickle, NoahSchiro",2,2021-02-08,2024-03-13,0
google-deepmind/optax,Model development,Modeling & training,1653,2,0.12%,4,0.24%,183,Optax is a gradient processing and optimization library for JAX.,"fabianp, mtthss, vroulet",100+,2020-06-12,2024-10-10,0
freedmand/semantra,Applications,Data organization,2500,2,0.08%,6,0.24%,138,Multi-tool for semantic search,"freedmand, yych42, kianmeng",5,2023-03-31,2024-08-15,0
dvorka/mindforger,Applications,Info aggregation,2258,2,0.09%,5,0.22%,137,Thinking notebook and Markdown editor.,"dvorka, vlastahajek, COMPUTER102",9,2017-12-25,2023-12-25,24610
jessevig/bertviz,Model development,Toolings,6849,2,0.03%,15,0.22%,774,"BertViz: Visualize Attention in NLP Models (BERT, GPT2, BART, etc.) ","jessevig, cyber-raskolnikov, martinsotir",5,2018-12-16,2022-07-24,0
KillianLucas/01,Applications,Workflow automation,4926,2,0.04%,10,0.20%,517,"The #1 open-source voice interface for desktop, mobile, and ESP32 chips.","KillianLucas, tyfiero, MikeBirdTech",45,2024-01-11,2024-10-02,0
kaixindelele/ChatPaper,Applications,Info aggregation,18343,2,0.01%,37,0.20%,1921,Use ChatGPT to summarize the arXiv papers. 全流程加速科研，利用chatgpt进行论文全文总结+专业翻译+润色+审稿+审稿回复,"kaixindelele, WangRongsheng, MrPeterJin",13,2023-03-08,2023-08-13,0
s0md3v/roop,Applications,Image production,28246,2,0.01%,55,0.19%,6840,one-click face swap,"henryruhs, s0md3v, K1llMan",20,2023-05-28,2023-08-02,0
eth-sri/lmql,AI engineering,Prompt engineering,3651,2,0.05%,7,0.19%,197,A language for constraint-guided and efficient LLM programming.,"lbeurerkellner, Viehzeug, charles-dyfis-net",35,2022-11-24,2024-05-09,0
google-deepmind/open_spiel,Model development,Modeling & training,4205,2,0.05%,8,0.19%,929,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,"lanctot, michalsustr, Jazeem",100+,2019-07-22,2024-10-10,88
ashawkey/stable-dreamfusion,Model repo,Multimodal,8214,2,0.02%,15,0.18%,721,Text-to-3D & Image-to-3D & Mesh Exportation with NeRF + Diffusion.,"ashawkey, claforte, abesmon",17,2022-10-06,2023-05-17,0
open-mmlab/mmagic,Model development,Modeling & training,6897,2,0.03%,12,0.17%,1055,"OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic 🪄: Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, for text-to-image generation, image/video restoration/enhancement, etc.","Yshuo-Li, hejm37, Z-Fran",100+,2019-08-23,2023-12-15,0
josStorer/chatGPTBox,Applications,Info aggregation,9923,2,0.02%,17,0.17%,748,"Integrating ChatGPT into your browser deeply, everything you need is here","josStorer, PeterDaveHello, okkidwi",39,2023-03-15,2024-07-30,36608
lonePatient/awesome-pretrained-chinese-nlp-models,Lists,,4770,2,0.04%,8,0.17%,471,Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合,"lonePatient, sliderSun, yangapku",6,2019-05-25,2023-12-27,0
SkyworkAI/Skywork,Model repo,Multilingual,1214,2,0.16%,2,0.16%,111,"Skywork series models are pre-trained on 3.2TB of high-quality multilingual (mainly Chinese and English) and code data. We have open-sourced the model, training data, evaluation data, evaluation methods, etc.       天工系列模型在3.2TB高质量多语言和代码数据上进行预训练。我们开源了模型参数，训练数据，评估数据，评估方法。","zhao1iang, TianwenWei, eltociear",5,2023-10-10,2024-04-03,0
thunlp/OpenPrompt,AI engineering,Prompt engineering,4326,2,0.05%,7,0.16%,447,An Open-Source Framework for Prompt-Learning.,"ShengdingHu, yulinchen99, Achazwl",17,2021-09-30,2023-05-06,0
InternLM/InternLM-XComposer,Model repo,Multimodal,2473,2,0.08%,4,0.16%,153,InternLM-XComposer-2.5: A Versatile Large Vision Language Model Supporting Long-Contextual Input and Output,"myownskyW7, panzhang0212, xiaoachen98",15,2023-09-26,2024-04-23,0
Netflix/metaflow,Infrastructure,Compute management,8101,2,0.02%,13,0.16%,764,"Open Source Platform for developing, scaling and deploying serious ML, AI, and data science systems","savingoyal, romain-intel, saikonen",92,2019-09-17,2024-10-10,0
OpenGVLab/LLaMA-Adapter,Model repo,,5715,2,0.03%,9,0.16%,370,[ICLR 2024] Fine-tuning LLaMA to follow Instructions within 1 Hour and 1.2M Parameters,"ZrrSkywalker, csuhan, ChrisLiu6",12,2023-03-19,2023-07-10,5086
towhee-io/towhee,Model development,Dataset engineering,3185,2,0.06%,5,0.16%,247,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,"Chiiizzzy, junjiejiangjjj, shiyu22",34,2021-07-13,2024-10-10,2613
griptape-ai/griptape,AI engineering,AIE framework,1956,2,0.10%,3,0.15%,160,"Modular Python framework for AI agents and workflows with chain-of-thought reasoning, tools, and memory. ","vasinov, collindutter, andrewfrench",28,2023-01-14,2024-10-09,0
OpenBMB/XAgent,AI engineering,Agent,8079,2,0.02%,12,0.15%,830,An Autonomous LLM Agent for Complex Task Solving,"luyaxi, ChengFai, Umpire2018",34,2023-10-16,2024-03-04,0
QData/TextAttack,Model development,Dataset engineering,2925,2,0.07%,4,0.14%,392,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/","jxmorris12, qiyanjun, jinyongyoo",55,2019-10-15,2024-07-25,0
JohnSnowLabs/spark-nlp,Model development,Modeling & training,3832,2,0.05%,5,0.13%,710,State of the Art Natural Language Processing,"maziyarpanahi, saif-ellafi, DevinTDHa",90,2017-09-24,2024-09-28,0
google-research/simclr,Model repo,,4069,2,0.05%,5,0.12%,623,SimCLRv2 - Big Self-Supervised Models are Strong Semi-Supervised Learners,"chentingpc, saxenasaurabh, williamFalcon",4,2020-03-10,2020-12-03,0
THUDM/ChatGLM3,Model repo,Multilingual,13381,2,0.01%,16,0.12%,1552,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型,"zRzRzRzRzRzRzR, duzx16, Btlmd",36,2023-10-26,2024-07-10,0
Moonvy/OpenPromptStudio,AI engineering,Prompt engineering,5987,2,0.03%,7,0.12%,706,🥣 AIGC 提示词可视化编辑器  | OPS | Open Prompt Studio,"yArna, sinlov, 0xLLLLH",8,2023-03-25,2023-04-24,0
openai-translator/openai-translator,Applications,Workflow automation,23730,2,0.01%,26,0.11%,1724,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,"yetone, maltoze, OverflowCat",89,2023-03-04,2024-09-23,1451377
ludwig-ai/ludwig,AI engineering,AIE framework,11125,2,0.02%,12,0.11%,1190,"Low-code framework for building custom LLMs, neural networks, and other AI models","w4nderlust, jimthompson5802, tgaddair",100+,2018-12-27,2023-09-18,0
homanp/superagent,AI engineering,Agent,5154,2,0.04%,5,0.10%,826,🥷 Run AI-agents with an API,"homanp, elisalimli, dsinghvi",58,2023-05-10,2024-06-05,0
artidoro/qlora,Model development,Modeling & training,9970,2,0.02%,9,0.09%,818,QLoRA: Efficient Finetuning of Quantized LLMs,"artidoro, TimDettmers, tobi",15,2023-05-11,2023-07-24,0
life4/textdistance,AI engineering,Dataset engineering,3370,2,0.06%,3,0.09%,249,"📐 Compute distance between sequences. 30+ algorithms, pure python implementation, common interface, optional external libs usage.","orsinium, juliangilbey, musicinmybrain",14,2017-05-05,2024-09-09,1015
joshpxyne/gpt-migrate,Applications,Coding,6837,2,0.03%,6,0.09%,482,Easily migrate your codebase from one framework or language to another.,"joshpxyne, MkuuWaUjinga, sandys",5,2023-06-24,2023-09-07,0
a16z-infra/companion-app,Applications,Bots,5741,2,0.03%,5,0.09%,954,AI companions with memory: a lightweight stack to create and host your own AI companions,"ykhli, timqian, jmoore994",11,2023-06-22,2023-09-19,0
openai/shap-e,Model repo,Multimodal,11594,2,0.02%,10,0.09%,942,Generate 3D objects conditioned on text or images,"unixpickle, heewooj, ahmadmustafaanis",8,2023-04-19,2023-11-08,0
microsoft/JARVIS,AI engineering,Agent,23595,2,0.01%,20,0.08%,1964,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf","tricktreat, siyuyuan, StillKeepTry",23,2023-03-30,2024-01-05,0
ricklamers/gpt-code-ui,Applications,Coding,3549,2,0.06%,3,0.08%,448,An open source implementation of OpenAI's ChatGPT Code interpreter,"ricklamers, dasmy, tunayokumus",6,2023-05-10,2023-07-29,0
spotify/annoy,Infrastructure,VectorDB,13162,2,0.02%,11,0.08%,1163,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,"erikbern, eddelbuettel, chdsbd",66,2013-04-01,2024-07-29,0
flairNLP/flair,AI engineering,AIE framework,13864,2,0.01%,11,0.08%,2096,A very simple framework for state-of-the-art Natural Language Processing (NLP),"alanakbik, tabergma, helpmefindaname",100+,2018-06-11,2024-07-19,0
linyiLYi/street-fighter-ai,Applications,Bots,6321,2,0.03%,5,0.08%,1360,This is an AI agent for Street Fighter II Champion Edition.,"linyiLYi, kianmeng, arch-fan",3,2023-03-27,2023-04-21,0
facebookresearch/metaseq,Model development,Modeling & training,6464,2,0.03%,5,0.08%,724,Repo for external large-scale work,"suchenzang, stephenroller, punitkoura",52,2022-05-02,2023-08-04,0
THUDM/VisualGLM-6B,Model repo,Multimodal,4079,2,0.05%,3,0.07%,416,Chinese and English multimodal conversational language model | 多模态中英双语对话语言模型,"Sleepychord, 1049451037, lykeven",8,2023-04-23,2023-05-31,0
Instruction-Tuning-with-GPT-4/GPT-4-LLM,Model development,Dataset engineering,4179,2,0.05%,3,0.07%,302,Instruction Tuning with GPT-4,"ChunyuanLI, Instruction-Tuning-with-GPT-4, 152334H",5,2023-04-06,2023-04-08,0
qwopqwop200/GPTQ-for-LLaMa,Model development,Inference optimization,2988,2,0.07%,2,0.07%,459,4 bits quantization of LLaMA using GPTQ,"qwopqwop200, tpoisonooo, MasterTaffer",26,2023-03-06,2023-06-23,0
openchatai/OpenCopilot,Applications,Workflow automation,5053,2,0.04%,3,0.06%,396,🤖 🔥 Language-to-actions engine ,"faltawy, gharbat, codebanesr",16,2023-08-12,2024-09-26,0
openchatai/OpenChat,Applications,Workflow automation,5170,2,0.04%,3,0.06%,640,LLMs custom-chatbots console ⚡,"lvalics, codebanesr, gharbat",13,2023-05-30,2024-02-22,0
LargeWorldModel/LWM,Model repo,,7102,2,0.03%,4,0.06%,549,,"wilson1yan, eltociear",2,2024-02-08,2024-02-21,0
mlc-ai/web-stable-diffusion,Applications,Image production,3561,2,0.06%,2,0.06%,227,Bringing stable diffusion models to web browsers. Everything runs inside the browser with no server support. ,"MasterJH5574, tqchen, eltociear",10,2023-03-06,2024-03-12,0
fauxpilot/fauxpilot,Applications,Coding,14565,2,0.01%,6,0.04%,618,FauxPilot - an open-source alternative to GitHub Copilot server,"moyix, fdegier, leemgs",13,2022-08-03,2024-02-07,0
GaiZhenbiao/ChuanhuChatGPT,AI engineering,AI interface,15185,2,0.01%,6,0.04%,2289,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.","GaiZhenbiao, Keldos-Li, MZhao-ouo",51,2023-03-02,2024-09-23,1395
01-ai/Yi,Model repo,,7624,2,0.03%,3,0.04%,471,A series of large language models trained from scratch by developers @01-ai,"Haijian06, Mia-xia, nlmlml",45,2023-11-03,2024-09-23,0
xiangsx/gpt4free-ts,AI engineering,AI interface,7639,2,0.03%,2,0.03%,1338,Providing a free OpenAI GPT-4 API !   This is a replication project for the typescript version of xtekky/gpt4free,"xiangsx, akl7777777, Neco86",15,2023-05-04,2024-04-09,0
smol-ai/developer,AI engineering,Agent,11795,2,0.02%,3,0.03%,1025,the first library to let you embed a developer agent in your own app!,"swyxio, thatliuser, jakubno",19,2023-05-13,2023-09-25,0
antimatter15/alpaca.cpp,Applications,Bots,10253,2,0.02%,2,0.02%,910,Locally run an Instruction-Tuned Chat-Style LLM ,"ggerganov, antimatter15, anzz1",35,2023-03-16,2023-03-21,59074
carson-katri/dream-textures,Applications,Image production,7791,2,0.03%,1,0.01%,424,Stable Diffusion built-in to Blender,"carson-katri, NullSenseStudio, blastframe",13,2022-09-08,2024-08-25,204237
mshumer/gpt-prompt-engineer,AI engineering,Prompt engineering,9324,2,0.02%,1,0.01%,643,,"mshumer, vrushankportkey, alexfazio",7,2023-07-04,2024-04-12,0
KimMeen/Time-LLM,AI engineering,AIE framework,1304,1,0.08%,21,1.61%,224,"[ICLR 2024] Official implementation of "" 🦙 Time-LLM: Time Series Forecasting by Reprogramming Large Language Models""","KimMeen, qingsongedu, kwuking",7,2024-01-20,2024-04-23,0
getzep/zep,AI engineering,AIE framework,2598,1,0.04%,37,1.42%,370,Zep | The Memory Foundation For Your AI Stack,"danielchalef, paul-paliychuk, rsharath",12,2023-04-29,2024-10-04,0
panoratech/Panora,AI engineering,AIE framework,874,1,0.11%,12,1.37%,182,One API to connect your data sources to your LLMs,"naelob, rflihxyz, mit-27",20,2023-09-23,2024-09-20,0
